rentree_scolaire,denomination_principale_x,secteur,nombre_d_eleves,latitude,longitude,appariement,nature_uai_libe,numero_uai,code_departement
2021,LPO LYCEE DES METIERS,PUBLIC,401,44.02798774749814,1.1384612622669157,Correcte,LYCEE POLYVALENT,0820004J,082
2021,LYCEE GENERAL,PUBLIC,529,44.10533875517655,1.0923666228599318,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0820016X,082
2021,LYCEE GENERAL,PUBLIC,1026,44.01315407944115,1.3614574750152593,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0820020B,82
2021,LYCEE POLYVALENT,PUBLIC,1476,44.01382361970894,1.368913626779251,Parfaite,LYCEE POLYVALENT,0820021C,82
2021,LYCEE GENERAL ET TECHNO. PRIVE,PRIVE,802,44.000151022379136,1.3608673497119392,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0820044C,82
2021,LYCEE POLYVALENT,PUBLIC,719,43.96273860850747,1.2482103237512776,Correcte,LYCEE POLYVALENT,0820917B,082
2021,LYCEE POLYVALENT,PUBLIC,617,44.16001734534624,1.5530735229706818,Parfaite,LYCEE POLYVALENT,0820883P,082
2021,LYCEE POLYVALENT,PUBLIC,347,44.113639379100285,0.8965694541799542,Correcte,LYCEE POLYVALENT,0820899G,82
2021,LYCEE POLYVALENT,PUBLIC,792,47.37537909669732,-1.1817713728384345,Correcte,LYCEE POLYVALENT,0440001M,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,689,47.36739081737388,-1.181954847786632,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440149Y,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,927,47.19676074201279,-1.4505324620466975,Moyenne,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442095N,44
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,962,47.482017894357504,-1.7627997916178355,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442207K,44
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1072,47.155814471199264,-1.6824500211541815,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442309W,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,987,47.279991658359705,-1.4909504595793457,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442834S,044
2021,LYCEE POLYVALENT,PUBLIC,561,47.728293961800425,-1.3682202415696303,Parfaite,LYCEE POLYVALENT,0440005S,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,412,47.71536718077101,-1.3767794765731127,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440151A,44
2021,LYCEE POLYVALENT,PUBLIC,835,47.09329800779909,-1.267820018445524,Parfaite,LYCEE POLYVALENT,0442752C,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,1272,47.10432968513712,-1.303179358720428,MANUEL,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442273G,44
2021,LYCEE GENERAL,PUBLIC,573,47.33140984003487,-2.420509555839649,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0442112G,044
2021,LYCEE GENERAL PRIVE,PRIVE,519,47.32144728659885,-2.432339937917036,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0442226F,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,625,47.28741308171475,-2.3745497641162574,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440012Z,44
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,159,47.26060900953403,-1.541370359290297,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0442083A,044
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,601,46.99374220194108,-1.8235502189487176,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440201E,44
2021,LYCEE GENERAL,PUBLIC,897,47.21871508140165,-1.5442505529618926,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0440021J,44
2021,LYCEE GENERAL,PUBLIC,551,47.217000945239455,-1.561009737381344,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0440022K,044
2021,LYCEE GENERAL,PUBLIC,843,47.216174628191325,-1.568769563633372,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0440024M,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,958,47.2254869894435,-1.5452005346779734,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440029T,044
2021,LYCEE POLYVALENT,PUBLIC,590,47.2540961307008,-1.5729705683673283,Parfaite,LYCEE POLYVALENT,0440030U,44
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1057,47.23679414709965,-1.5124099058282097,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440086E,044
2021,LYCEE GENERAL PRIVE,PRIVE,548,47.23687423596032,-1.533379380609284,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0440154D,44
2021,LYCEE GENERAL PRIVE,PRIVE,1038,47.236658351701216,-1.5578102838401713,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0440161L,44
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,681,47.22343184688967,-1.556030503195269,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440163N,044
2021,LYCEE GENERAL PRIVE,PRIVE,606,47.22836530022264,-1.519516261723193,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0440166S,44
2021,LYCEE GENERAL PRIVE,PRIVE,572,47.24351476296307,-1.5622918229573295,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0440172Y,44
2021,LYCEE POLYVALENT PRIVE,PRIVE,105,47.20707571353516,-1.6086194596202426,Parfaite,LYCEE POLYVALENT,0440246D,44
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,600,47.20468895900564,-1.6099696774353849,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0440288Z,044
2021,LYCEE POLYVALENT,PUBLIC,1455,47.18616538280837,-1.5174799567161923,Correcte,LYCEE POLYVALENT,0441552Y,44
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,87,47.232575902363024,-1.5205694787085215,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0441982R,044
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,545,47.23134140761392,-1.5929603553867224,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0441993C,044
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,19,47.202960116784816,-1.5456801491580427,Correcte,LYCEE POLYVALENT,0442227G,44
2021,LYCEE GENERAL PRIVE,PRIVE,553,47.21877899279413,-1.5730398526932328,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0442699V,44
